"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"PDE3B",25.6218907722707,2.29327370529343,4.6369250057882,10.0894009736439,25.4278366164894,6.19004210540939,1.29658636408983,"T"
"TNK1",7.40219467856185,9.66380150227031,0.102431686079895,0.828402082648757,5.26928313608256,0,Inf,"B"
"CRIP2",20.4316717515297,38.0649416038689,1.52170538142571,0.987819639717362,19.65746009676,0,Inf,"B"
"DBNDD1",1.36778460565143,12.3457122437064,0.0314115310843961,0.0303818317209281,0.27241466294659,0,Inf,"B"
"VPREB3",0,53.7777168370372,0,0,0,0.0330189999505845,Inf,"B"
"KCNH8",0.00069457451452609,12.6708234770134,0,0,3.12465545575066,0,Inf,"B"
"KCNIP2",0.489787583339494,8.43732678491312,1.01383956311052,0,7.44262328192691,0,Inf,"B"
"WNT16",0.0481486367180223,15.0714734523695,0,0,0,0,Inf,"B"
"DOK7",0.0116960502080863,14.2077283825828,0.006097321685859,1.33072949935561,1.43140778577118,0,Inf,"B"
"IGFBP4",1.24391637797163,2.30805095616896,0.00157067338943803,1.67191438842244,0.763976704933367,0,Inf,"B"
"DIPK1B",0.0336542755802943,2.79649756205436,0.068237307487819,0,0.573741875462209,0,Inf,"B"
"TCL1A",0.199469460162826,482.069761844076,0.231840759939021,0.50837872150179,166.520243777447,0.121788861704953,6.32622418614082,"B"
"BANK1",0.109639369873224,526.649446994654,4.13133541735438,1.04484244744996,200.72727689764,0.0840089708889571,5.85113043775732,"B"
"SLC38A11",0.0315273362748773,13.960656288931,0.00656112212206427,0.0885333386347948,1.01494231732906,0.00835514729789481,5.77182625300729,"B"
"FAM177B",0.0239156518685758,19.7056198330404,0.0537505475815474,0.0890352283828451,2.48016954814743,0.143416122105674,5.00270881329259,"B"
