"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","cell"
"PHF12",5.14616,4.976075,4.42051,8.126405,4.68383,25.1278,"Neutrophils"
"PHOSPHO1",1.0966794,1.0536024,2.03134,1.40801725,1.125693,318.5735,"Neutrophils"
"PI3",1.0194386,1,1.156504,1,1.0812909,975.034499999999,"Neutrophils"
"PIP4P2",3.76227,3.22874,5.746,4.21238,11.0949,54.6896,"Neutrophils"
"PKIG",2.92007,224.6455,2.52771,6.52911,28.6933,2.0225765,"B"
"PKN2",5.9217,6.72692,6.10423,3.77187,6.90735,44.2503,"Neutrophils"
"PLAGL2",1.965208,1.7032095,11.7154,1.08974315,2.07066,1.5951505,"Monocytes"
"PLD4",1.724454,161.4075,163.957,11.33528,2422.72,5.235745,"DC"
"PLEKHB1",36.4979,8.65997,1.156094,4.414745,1.570662,1.4349515,"T"
"PLEKHG1",1.240194,14.22435,1.0205585,1.02969725,1.0495934,1.03904435,"B"
"PLIN5",1.253901,1.296128,1.326914,1.2771295,1.28509,10.56496,"Neutrophils"
"PLPP5",13.6363,139.9655,12.2875,25.35175,20.0345,5.79174,"B"
"PMP22",1.0156571,1.0249899,1.41971,1.053394,15.5209,1.04293025,"DC"
"PNOC",1.155765,164.787,5.99837,1.417253,79.2111,1.7683975,"B"
"POLM",6.1887,8.231,4.33889,8.990555,7.0681,39.48125,"Neutrophils"
"POU2AF1",1.320474,21.5442,1.169383,1.331042,1.142627,1.93354,"B"
"PPM1J",1,1.58758,1.97413,1.0205853,41.0322,1,"DC"
"PPP1R12B",2.07673,2.69688,2.33349,1.218326,2.40289,11.0278,"Neutrophils"
"PPP1R17",1,1,8.04946,1,1,1.0125728,"Monocytes"
"PPP1R3B",2.75765,1.9369885,1.853612,2.981835,2.02812,34.78195,"Neutrophils"
"PPP1R9A",1,1.6105765,1,9.344255,1.0133581,1,"NK"
"PPP4R1",4.35522,3.040995,5.23275,6.598235,5.6933,23.3441,"Neutrophils"
"PRF1",115.845,3.00816,2.49933,683.2155,2.60253,6.147965,"NK"
"PROK2",2.01541,1.0082423,1.758966,1,1.121112,258.03,"Neutrophils"
"PRRG4",1.145547,1.1311335,1.764737,1.118698,1.291696,7.51668,"Neutrophils"
"PTAFR",1.481584,7.073665,58.7596,1.3691195,4.07373,475.1615,"Neutrophils"
"PTGDR",5.7021,1.04576405,1.0674516,103.3815,1.0413806,2.2125355,"NK"
"PTGIR",1.0729933,1.5104955,31.3809,1.0406365,6.4058,1.4211758,"Monocytes"
"PTGS2",1,1,1.378365,1,1,8.521825,"Neutrophils"
"PYGL",1.0269796,1.02630265,21.5072,1.29986485,6.80391,81.59915,"Neutrophils"
"PYROXD2",2.29868,1.03308425,1.0954869,47.38705,1.650294,1.1159347,"NK"
"QPCT",1.200288,2.083695,26.9505,1.06785665,8.82179,901.388,"Neutrophils"
"QRSL1",7.63815,54.33415,8.08535,8.328745,9.75717,2.058908,"B"
"R3HDM4",26.0223,24.4618,10.47572,10.18903,9.67582,300.2975,"Neutrophils"
"RAB11FIP1",3.91272,5.04328,14.0438,13.0959,16.533,68.39415,"Neutrophils"
"RAB13",1.0368251,1.5893885,2.04523,1,12.5258,1.6091075,"DC"
"RAB30",7.41675,38.5366,1.514195,3.273165,4.33117,1.712054,"B"
"RALBP1",8.79061,7.179145,11.078,10.725355,13.8042,129.717,"Neutrophils"
"RALGPS2",1.175926,19.70415,1.125574,1.1919265,1.501125,1.693254,"B"
"RAMP1",1.0274178,1.02012835,1,73.43055,1.0587977,1,"NK"
"RASGRP3",1.458812,12.01185,1.0371964,1.09327915,1.120962,1.03710445,"B"
"RASSF3",19.8773,8.386335,12.9201,16.1312,7.84844,75.2261,"Neutrophils"
"RCAN3",26.5469,4.41829,1.856047,5.078155,3.15143,1.37155,"T"
"REPS2",1.0272987,1.0522417,1.193657,1.03116895,1.315252,10.076565,"Neutrophils"
"RFX2",1.239464,1.12678855,2.04876,1.435661,1.223977,15.96,"Neutrophils"
"RGCC",41.1975,1.646696,1.131742,1.1217245,3.51705,1.2406465,"T"
"RGL4",78.1154,3.883125,12.3602,40.61065,1.40782,322.583,"Neutrophils"
"RGS2",6.69205,3.467735,279.285,3.74674,43.2225,2670.67,"Neutrophils"
"RIN1",1.374465,1,8.37935,1,1,1,"Monocytes"
"RIPOR2",140.36,135.4335,106.762,128.4245,61.1116,614.269,"Neutrophils"
"RNF149",50.5407,11.26917,130.654,20.6243,61.3453,661.216,"Neutrophils"
"RNF19B",1.852751,1.9320185,2.74767,2.066521,1.603596,11.826605,"Neutrophils"
"RNF24",6.01453,2.986605,9.89542,9.90559,2.65567,165.3935,"Neutrophils"
"ROPN1L",4.62105,1.01814165,1.43009,1.0073613,1,75.0889,"Neutrophils"
"RPS9",52.7323,51.0404,44.8269,52.9833,76.3304,336.744,"Neutrophils"
"RRAS",1.7026,1.5240965,14.084,1.00553895,2.61165,1,"Monocytes"
"RSBN1L",8.66919,9.492575,6.02689,8.320995,10.59792,41.18935,"Neutrophils"
"RSPH14",1,1.0570245,1,1,1,5.419765,"Neutrophils"
"S100A8",14.948,11.943935,1271.75,17.07865,662.583,25056.9,"Neutrophils"
"S100A9",18.6182,14.0459,1398.68,18.3088,717.935999999999,18261.25,"Neutrophils"
"S100P",1.136999,1.07025365,2.91296,1,1.172544,445.506,"Neutrophils"
"SCARA5",1,1,1,1.0069836,12.429,1,"DC"
"SCARB1",1.179875,3.470025,7.69468,1.28420735,25.477,2.3449315,"DC"
"SCHIP1",1,1,1,1,4.42097,1,"DC"
"SCN3A",1.0721545,6.649795,1,1.0138771,1.0360085,1.006861,"B"
"SDC2",1,1,1.451841,1,1.0178518,10.12117,"Neutrophils"
"SEC14L1",3.99297,6.91555,22.6205,8.76945,8.28371,239.109,"Neutrophils"
"SERPINE1",1.0541488,1.0576499,1.109237,6.24125,1.165053,1.118905,"NK"
"SERPINE2",2.09732,1.8263885,1.0336331,25.16185,1.0131651,1.060248,"NK"
"SERPINF1",1.874501,5.04852,4.20258,2.18061,1028.08,1.185043,"DC"
"SERPINF2",1,1.2273245,1.271601,1.0225574,14.4325,1,"DC"
"SFTPD",1,1,8.17468,1,1.0276025,1,"Monocytes"
"SH2D1B",1.14657,1.0848446,19.6464,382.039,1.387847,1.79001,"NK"
"SIGLEC5",1.0336647,2.73922,23.1572,1.838404,10.1142,102.999,"Neutrophils"
"SIRPA",1.034887,1.02681845,5.97872,1.0150945,4.36351,28.22095,"Neutrophils"
