"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","cell"
"BASP1",1.0365093,5.261875,2.51711,1.6800455,1.829165,82.86205,"Neutrophils"
"BAZ2B",6.14873,5.53399,10.03581,21.3249,16.7804,124.7385,"Neutrophils"
"BCL6",3.5804,6.665405,31.8667,3.721505,10.89974,167.9235,"Neutrophils"
"BEST1",1.168673,1.206462,4.52698,1.167025,1.752587,24.2511,"Neutrophils"
"BLK",2.00721,120.432,1.0624654,1.12688645,4.46886,1.4111015,"B"
"BLVRA",58.9691,14.8598,277.165,22.96655,44.1029,16.85995,"Monocytes"
"BMX",1,1,1,1,1,5.841045,"Neutrophils"
"BTLA",11.7416,46.5278,1.066436,1.0992217,18.1504,1.20988145,"B"
"BTNL3",1,1,1.029185,1,1,15.41835,"Neutrophils"
"BTNL8",1,1.0084413,1.16848,1,1,148.5765,"Neutrophils"
"BX088645.1",1,1,1,1,1,14.448785,"Neutrophils"
"C12orf45",18.6396,19.85285,25.7373,31.22475,291.685,3.75269,"DC"
"C1QA",1.0499785,1.01478795,99.8882,1.07982135,1.105611,1.1658495,"Monocytes"
"C1QB",1.0247746,1.0053756,49.9167,1.0880435,1.0629397,1.1284389,"Monocytes"
"C1QC",1,1,8.95205,1.01437655,1.0155884,1.0190549,"Monocytes"
"C3AR1",9.77109,1.226179,207.253,6.215575,8.05034,8.71087,"Monocytes"
"C3orf62",2.23211,2.23,3.19217,2.30321,2.29439,21.83545,"Neutrophils"
"C4BPA",1,1,1,1,1,3.328235,"Neutrophils"
"C5AR1",1.328741,1.299276,53.3695,1.537952,2.11808,198.2235,"Neutrophils"
"C5AR2",1.253585,1.280824,3.6238,1.266891,1.403523,20.73205,"Neutrophils"
"CA4",1,1,1.0146004,1,1,65.00035,"Neutrophils"
"CALML4",1.167641,1.0574525,125.34,1,2.59213,6.73763,"Monocytes"
"CAMK1",1.0843745,1.142943,26.9498,3.96775,2.34617,1.316942,"Monocytes"
"CAMK4",20.0545,1.569353,1.0261582,2.4651465,1.0245443,1.4965375,"T"
"CAMP",1.025908,1.9691465,6.01651,3.442185,3.56635,166.067,"Neutrophils"
"CAPN12",1.390123,3.13225,1.0208335,26.00505,1.0473564,1.13364595,"NK"
"CAPN15",1.0763572,1.177076,1.401976,1.301246,1.185388,9.625375,"Neutrophils"
"CARD9",1.0140224,1.02437345,35.9906,1.2752955,2.09925,1.858939,"Monocytes"
"CASS4",4.33029,1.08736575,2.49405,5.448125,5.37388,55.99085,"Neutrophils"
"CCDC153",1.330393,1.308735,2.49788,1.2843095,2.10403,10.924565,"Neutrophils"
"CCL4L2",1.672085,1.01575265,1.111678,1.956693,1.0453052,12.1883,"Neutrophils"
"CCN3",1,1,1.0261394,1,1.0381666,17.57525,"Neutrophils"
"CCR2",3.90067,4.375625,14.2171,19.673,165.173,4.418835,"DC"
"CCR3",2.57425,1.3773065,1.956313,1.517065,3.10168,77.50645,"Neutrophils"
"CCR6",17.7306,61.1664,1.115116,1.754787,3.67805,1.384688,"B"
"CCR9",2.22991,10.28686,1.0138265,1.01022725,1.13236,1,"B"
"CD160",1.825057,1.12828,1.18592,93.1243,1.443633,4.385175,"NK"
"CD177",1,1,1,1,1,4.74136,"Neutrophils"
"CD19",1.0808734,130.1035,1.349113,1.1029301,1.279005,1.331046,"B"
"CD200",2.25562,39.59385,1.144158,2.498055,2.67948,1.970153,"B"
"CD22",1.0766576,81.46475,1.286926,1.05839095,4.29278,1.490299,"B"
"CD24",1.129925,36.20425,1.140636,1.187194,1.130938,2.73149,"B"
"CD27",338.557,128.325,2.07279,63.2894,1.858787,3.353705,"T"
"CD28",39.9274,1.20854,1.408803,1.1580195,1.115906,9.11901,"T"
"CD300E",1.106288,1.0599142,78.3159,1.172468,3.95455,1.969391,"Monocytes"
"CD3D",1165.5,3.711245,4.15586,5.25652,4.61158,13.0535,"T"
"CD3G",204.043,1.660663,1.673035,2.25704,1.733416,6.21312,"T"
"CD40LG",14.7856,1.0355183,1.0682596,1.836533,1.0562448,1.1231948,"T"
"CD5",87.8186,2.172555,1.285164,1.3545895,4.78959,2.20747,"T"
"CD6",28.208,1.619855,1.049557,1.06389865,1.102701,1.26949935,"T"
"CD7",48.778,1.2302025,1.240941,253.1025,6.20601,2.072145,"NK"
"CD72",2.0371,188.636,2.35051,10.387115,13.0562,1.555353,"B"
"CD79A",5.2459,899.4105,2.32577,3.780925,21.882,4.01953,"B"
"CD79B",39.5266,801.9035,126.749,46.1927,9.44876,5.163455,"B"
"CD81",13.1246,102.7758,5.08809,14.75615,4.87362,1.3025535,"B"
"CDA",1.226192,1.0716532,92.6221,1.165888,7.47172,711.71,"Neutrophils"
"CDHR1",1,1,1,6.64978,1,1,"NK"
"CDK2AP1",1.731406,1.2838555,119.143,2.2227905,10.51039,3.11439,"Monocytes"
"CEACAM1",1.613064,1.70052,1.570862,1.04207195,1.0328928,14.8188,"Neutrophils"
"CEACAM3",1,1,5.64958,1.0194326,1.0855594,174.9105,"Neutrophils"
"CEACAM4",1.441567,1.03012205,13.185,1.01955675,2.30829,68.75465,"Neutrophils"
"CEBPD",1.0325724,1.00514215,4.32738,2.8967,1.593177,21.35345,"Neutrophils"
"CEP19",7.72418,3.64035,3.88029,5.98014,8.44316,95.3053,"Neutrophils"
"CEP63",14.7104,14.6029,21.9307,23.4871,17.9579,130.01,"Neutrophils"
"CEP78",11.3706,4.3988,3.18076,36.87135,3.20492,1.2051865,"NK"
"CFAP92",1.328587,1.322641,1.321404,1.362354,1.291446,24.23185,"Neutrophils"
"CFLAR",42.4785,18.41535,53.1018,49.09525,25.2435,255.9565,"Neutrophils"
"CHAD",1,8.927445,1,1,1.0176669,1,"B"
"CHI3L1",1,1,1.192388,1,1,276.478,"Neutrophils"
"CISH",35.5659,1.506449,6.46682,2.5216905,6.12081,6.78577,"T"
"CKLF",153.242,54.7686,175.797,199.481,180.906,882.613,"Neutrophils"
"CLC",4.29583,3.836945,8.86088,3.416211,7.01208,41.56775,"Neutrophils"
"CLEC12A",1.154429,1.0906612,102.74,3.29669,16.1374,7.036855,"Monocytes"
"CLEC17A",1.0857029,32.9349,1.321803,1.06690005,1.88183,2.106935,"B"
"CLEC4E",1.0576691,1.04880745,15.7148,1.0788109,3.99109,299.0065,"Neutrophils"
"CLSTN3",3.04254,1.1185315,1.0113731,14.2016,1.0778682,1.224286,"NK"
"CMC1",24.7706,13.5741,23.5076,162.8415,30.1813,5.55662,"NK"
"CNFN",1.650279,49.5706,3.23947,1.02196815,3.00751,1.9561245,"B"
"CNTNAP3",1,1,1,1,1,4.812945,"Neutrophils"
"COCH",1.0573316,13.64072,1.0569372,1.05928795,1.0686406,1.0459922,"B"
"COL19A1",1.0134885,16.83692,1,1.0149407,1.0145655,1,"B"
"COQ7",9.30794,10.512765,9.94586,12.53735,13.1965,77.18005,"Neutrophils"
"COX6A2",1,1,1,11.2599,1,1,"NK"
"CPA5",14.9158,1.0232667,1.0247361,1.03240615,1.0110609,1.03030295,"T"
"CPNE5",1.0269736,22.7488,1.0743252,1.0116757,1.122559,1.133723,"B"
"CR2",1.832573,16.371,1,1,1,1.0191193,"B"
"CREB5",1.0171628,1.0753344,11.9979,1.02590905,1.782605,125.6945,"Neutrophils"
"CRISPLD2",1.0723636,1.0505125,2.29659,1.0329819,1.654989,63.28405,"Neutrophils"
"CRTAM",4.63189,1.1660735,5.37933,39.019,1.339072,1.7952875,"NK"
"CSAD",2.47637,2.137249,2.31501,2.28107,1.995623,9.5576,"Neutrophils"
"CSF1R",1.151552,1.124826,274.659,1.1927265,16.7108,15.0382,"Monocytes"
"CSF2",1,1,1,5.887815,1,1,"NK"
"CSF2RB",1.0476011,1.690395,5.88259,1.03316585,9.26699,31.4684,"Neutrophils"
"CSF3R",1.182737,1.0714412,51.8256,1.0548236,12.1201,1102.834,"Neutrophils"
"CSNK1A1L",1.126181,1.0679602,1.120252,1.13810195,1.0985599,5.80028,"Neutrophils"
"CTLA4",2.69432,1,1,1,1,1,"T"
"CTSL",4.0299,1.02803875,95.5779,1.0954627,1.631754,1.232104,"Monocytes"
"CTSW",139.543,3.8366,3.87814,2396.275,27.2328,6.14371,"NK"
"CX3CR1",20.2535,1.3287245,203.741,41.4856,10.59843,16.39105,"Monocytes"
"CXCL1",1,1,1.01257,1,1,30.0132,"Neutrophils"
"CXCL10",1.0121659,1.03167335,27.715,1.0122745,1.0552371,1.27888025,"Monocytes"
"CXCL6",1,1,1,1,1,6.048845,"Neutrophils"
"CXCL8",1,1,1.230829,1,1.0157709,262.455,"Neutrophils"
"CXCR1",2.08795,1.0928632,1.686166,2.983005,1.80238,854.624,"Neutrophils"
"CXCR2",2.59796,1.0773975,7.91586,6.22488,13.5991,2041.505,"Neutrophils"
"CXCR5",2.47633,68.15865,1.0909205,1.278092,1.128092,1.10226405,"B"
"CYB561",3.89162,1.4199235,3.90444,21.3953,1.285662,4.77114,"NK"
"CYP1B1",1.0549176,1.0354995,26.2716,1.03352625,1.46984,3.88178,"Monocytes"
"CYP4F3",1.0522437,1.04521415,1.0888992,1.03072235,1.0809727,50.36355,"Neutrophils"
"CYSTM1",4.69788,6.202085,18.798,2.698835,26.5568,118.901,"Neutrophils"
"CYTL1",1,1,1.269962,22.4059,1.0815864,1,"NK"
"DAB2",1.366837,1.1326375,3.29083,2.683691,35.1863,2.78997,"DC"
"DAPK2",1.206169,1.4364105,1.133532,1.2931594,2.24494,43.63875,"Neutrophils"
"DEFA3",1.173356,1.344951,1.25495,1,1.127443,434.571,"Neutrophils"
"DEFA4",1,1,1,1,1,6.07608,"Neutrophils"
"DEGS2",1.0158022,6.856885,1,1.015531,1,1,"B"
"DENND3",1.192373,3.97822,6.1967,3.646935,1.410376,27.65585,"Neutrophils"
"DGAT2",1.039898,5.696295,6.77662,1.0234326,4.1079,235.526,"Neutrophils"
"DHRS9",1.0570593,3.5813,16.9165,1.05379295,3.281,52.2363,"Neutrophils"
"DNAJC25-GNG10",3.48423,2.355605,6.71334,3.446375,5.90788,54.2227,"Neutrophils"
"DNASE1L3",1.0848074,7.596545,1.130678,1.4851795,204.848,1.22871,"DC"
"DOCK5",1.0819732,1.0456123,5.3836,1.692881,1.719857,22.86825,"Neutrophils"
"DRC1",1,1,1.0218565,1,1,6.682935,"Neutrophils"
"DUSP1",51.6084,36.4324,490.605,115.948,30.2512,4966.775,"Neutrophils"
"DUSP10",3.5213,1.4861015,4.20934,17.9052,2.29182,1.2607145,"NK"
"DYNC2I2",3.47813,33.3366,2.82742,4.472665,8.96939,1.401024,"B"
"DYSF",1,1,1.764188,1.22646455,1.0103199,19.47835,"Neutrophils"
"E2F5",1.0411308,7.96679,1,1.2918775,1.379426,1,"B"
"EBF1",1.0115315,8.80463,1,1.00561675,1,1.02202205,"B"
"EEPD1",7.62632,1.0277277,4.26424,6.114245,3.84632,31.18075,"Neutrophils"
"EGLN1",1.69022,1.4950475,1.698209,1.902295,1.608777,10.651015,"Neutrophils"
"EGLN3",1.158989,1.0132437,1,2.0399745,19.8665,1.0127262,"DC"
"EHD3",1.93622,6.32803,1.769897,1.6402295,1.132226,1.39703245,"B"
"ELAPOR1",5.23353,1.02233415,1.0274639,1,1.0263549,55.48195,"Neutrophils"
"EOMES",3.62357,1.01336535,1.0439644,37.29245,1.0342195,1.02100845,"NK"
"EPHX2",32.0543,3.34571,1.0591784,5.578385,1.0591723,1.08038275,"T"
"F2RL1",3.263,1.06318445,3.1604,1.307859,3.46471,26.8226,"Neutrophils"
"FAM126B",3.60363,2.95784,2.49179,4.93583,2.1551,18.40315,"Neutrophils"
"FAM174A",4.12846,2.935825,5.04755,6.23146,4.36583,34.5154,"Neutrophils"
"FAM177B",1.0356582,34.7595,1.0334043,1.02552435,1.361534,1.2830715,"B"
"FAM241B",9.12963,1.01497935,1.0242936,1,1.0159766,1.02813565,"T"
"FAM53C",2.48972,2.447875,4.0759,2.961765,3.10927,15.95645,"Neutrophils"
"FAM81A",1,1.6966825,1.0236239,1,8.73291,1.06014395,"DC"
"FAS",22.9028,4.343523,11.998,4.57782,1.584611,88.59835,"Neutrophils"
"FASLG",5.01562,1.0413633,1.0876033,42.2817,1.0486101,1.399212,"NK"
"FBLN7",23.9421,1.0252718,1.0169506,1.02147755,1.0279547,1.0328022,"T"
"FBXL13",1,1.04140935,1.0187125,1,1,24.44775,"Neutrophils"
"FCER1A",3.18507,2.625685,8.23968,13.31665,472.954,9.80424,"DC"
"FCER2",1.111552,214.0505,3.55289,1.373445,1.853338,1.6397625,"B"
"FCGR2A",1.493677,2.53771,244.148,1.523917,11.2158,1366.255,"Neutrophils"
"FCGR2B",1.377429,136.576,6.92563,1.2250605,1.33139,33.9274,"B"
"FCGR3B",2.07995,1.06350665,17.6523,4.424115,1.503375,4691.84,"Neutrophils"
"FCN1",10.25095,5.96619,6442.36,13.2569,352.198,976.988,"Monocytes"
"FCRL1",1.0322778,40.29135,1.0561722,1.04801735,1.0254564,1.5063345,"B"
"FCRL2",1.0108413,16.66775,1,1.0177269,1,1,"B"
"FCRL5",1,11.85035,1,1,1.343882,1,"B"
"FCRLA",1.201831,261.3235,1.167921,1.209574,20.3416,1.2090885,"B"
"FFAR2",1.0698299,1.09236285,4.13465,1.11802465,1.367483,160.528,"Neutrophils"
"FHL1",7.85448,4.75601,1.119134,36.583,11.0266,1.0346169,"NK"
"FLT3",1,1.02701955,1.573154,1.701725,33.9242,1.0065153,"DC"
"FLT3LG",143.344,11.48197,14.6395,32.5956,4.67974,5.059975,"T"
"FLVCR2",1.466808,1,11.5913,1.376625,1.652915,1.1200515,"Monocytes"
"FNDC3B",2.32198,1.1938995,4.57438,4.543495,3.04619,26.3437,"Neutrophils"
"FOLR2",1.0213335,3.30231,34.7967,2.4294675,2.18255,1.19974585,"Monocytes"
"FOS",1.120568,1.0991989,24.5687,5.333065,4.7262,308.075,"Neutrophils"
"FPR1",1.524298,1.4723745,204.078,1.3436995,26.9991,1990.7,"Neutrophils"
"FPR2",1.214122,1.1614905,75.9356,1.0930987,5.55311,683.279,"Neutrophils"
"FRAT2",2.2387,2.19391,6.89061,2.828235,2.97131,39.43005,"Neutrophils"
"FXYD7",11.7091,6.65594,1.0532489,49.8057,1.203353,1.37455775,"NK"
"G0S2",1.0233453,1.0125641,1.530696,1.01244545,1.059921,374.4235,"Neutrophils"
"GAB2",1.0107212,1.385598,3.2686,1,2.22711,14.1874,"Neutrophils"
"GALNT14",1,1,1,1,1,5.45835,"Neutrophils"
"GAS6",1,1.0365887,1.70758,1.04847355,38.1434,1,"DC"
"GASK1B",1.0234492,1.01153175,26.0765,1.00671075,2.00192,1.2913725,"Monocytes"
"GCA",7.63951,18.9365,71.9588,2.556515,22.1506,552.546,"Neutrophils"
"GCNT4",8.78181,1.01935875,1.0497098,1.3213175,1.0504972,1.08751595,"T"
"GFOD1",1.162736,2.589535,1.500799,10.76637,1.0976979,1.251179,"NK"
"GK",3.59186,3.867295,10.4638,4.793865,8.2331,120.6565,"Neutrophils"
"GLT1D1",1,1,4.54501,1,1.966843,25.4247,"Neutrophils"
"GNG10",13.3573,7.56193,32.3989,11.040765,28.4693,242.133,"Neutrophils"
"GNG3",1,11.13365,1.0188548,1.0115585,1,1,"B"
"GNLY",209.491,12.41359,19.4406,19737.55,19.4533,42.67525,"NK"
"GPA33",11.6122,1.379047,1.713531,1.0233654,1.0275358,1.01350955,"T"
"GPBAR1",1.426147,1.2196865,528.496,1.3970795,29.9386,4.0798555,"Monocytes"
"GPM6A",1.0627684,18.8295,1.0873129,1.09304795,2.33266,1.1491137,"B"
"GPR27",1,1,1.25976,1,1,6.4336,"Neutrophils"
"GPR68",5.64298,1.260291,1.0502216,22.72405,1.0297867,2.459325,"NK"
"GPR82",1.0540843,1.130393,2.14528,10.64191,1.0688066,1.2084835,"NK"
"GPRC5D",1,8.348655,1,1,1,1,"B"
"GPX3",1,1.00533965,2.66973,1,1.151914,12.4735,"Neutrophils"
"GRAP2",37.974,3.928875,1.16648,6.519515,1.646694,2.954425,"T"
"GZMK",48.8819,1.462911,1.687526,579.0885,1.348994,2.0406275,"NK"
"H2AC19",25.6804,49.9838,131.702,49.5825,157.379,1176.46,"Neutrophils"
"H2AC6",11.9205,26.2914,14.4639,18.44765,20.3699,637.574,"Neutrophils"
"H2BC18",1.293193,1.662045,1.859876,1.54886865,1.874695,20.04195,"Neutrophils"
"H2BC21",2.80978,2.208565,5.96593,1.704944,5.90383,39.84745,"Neutrophils"
"H2BC5",9.1457,18.29035,8.73872,12.761315,12.0049,647.643,"Neutrophils"
"H3-3B",2467.33,1656.795,2711.32,3541.5,3236.63,14193.65,"Neutrophils"
"H3C10",2.50549,2.579185,2.21647,2.2980115,3.34081,14.0145,"Neutrophils"
"H4C2",1.82382,3.533965,1.870556,1,1.54625,23.1744,"Neutrophils"
"H4C8",1.59804,1.8309755,1.475365,1.089221,1.969596,12.567915,"Neutrophils"
"HAL",1.0154354,1.01954635,8.36832,1.0123143,1.89532,46.928,"Neutrophils"
"HCAR2",1.0158583,1.0061398,3.64692,1,1.019217,107.908,"Neutrophils"
"HCAR3",1.0278966,1.01919615,7.84491,1.0164383,1.0505639,94.5798,"Neutrophils"
"HDAC4",2.35018,1.6221075,4.19526,2.25726,3.2458,31.96255,"Neutrophils"
"HGF",1,1,14.8827,1.0105838,2.10881,3.57363,"Monocytes"
"HK3",1.174603,1.1409385,118.59,1.1943215,8.14882,20.9564,"Monocytes"
"HLX",1.024494,3.95142,4.59279,1.01777895,12.5067,41.77115,"Neutrophils"
"HMOX1",1.274321,4.11995,145.257,1.756036,4.374,24.7717,"Monocytes"
"HNMT",1.411901,1.618944,71.6749,1.3475725,7.83181,3.705915,"Monocytes"
"HOPX",58.8858,25.36835,2.5369,796.0285,3.36971,3.99831,"NK"
"HOXA10",1,1,1.0101218,18.3924,1.688561,1,"NK"
"HSPA6",1.123018,1.0826516,30.7972,10.695385,2.41636,217.8625,"Neutrophils"
"ICOS",13.0107,1.0231107,1.0228938,1.2824776,1.027886,1.0218604,"T"
"ID2",132.216,2.4249,156.993,968.1625,18.8591,62.2481,"NK"
"IFI30",21.1495,468.8945,6812.82,46.6626,424.878,1071.4205,"Monocytes"
"IFIT2",9.76642,17.72255,69.0699,8.91413,14.5377,381.1375,"Neutrophils"
"IFIT3",5.31522,6.043585,63.827,3.11459,6.36882,278.5,"Neutrophils"
"IFITM2",1355.49,1131.39,1699.65,3521.315,602.116,35883.85,"Neutrophils"
"IFRD1",10.66345,9.00943,9.62501,13.27035,8.20052,89.5047,"Neutrophils"
"IGFBP4",1.817607,2.134897,1.0133331,40.95815,1.014674,1.00735485,"NK"
"IGLL1",1,5.869235,1,1.01001825,1.038638,1,"B"
"IGLL5",1.209061,346.384,1.216661,1.325215,2.32995,1.3312795,"B"
"IL12RB2",1.818033,1.02778865,1.0190969,24.00965,1.0418694,1.03431165,"NK"
"IL18R1",4.5345,1.0751235,1.033509,54.37505,9.21939,5.764305,"NK"
"IL1B",1.0100136,1,9.23015,1,1.0457359,47.75855,"Neutrophils"
"IL1R2",1.0597376,1.01448105,2.01622,1,1.93975,225.018,"Neutrophils"
"IL1RAP",2.78324,2.476525,4.34155,1.02746245,2.68265,55.13075,"Neutrophils"
"IL1RN",1.0547281,1.035916,36.8774,1.0245531,5.60325,190.9985,"Neutrophils"
"IL2RB",11.4032,1.3242155,1.15183,130.619,1.113297,1.929547,"NK"
"IL6",1,3.95647,1,1,1,1,"B"
"INKA1",2.93141,44.1642,3.89489,1.0538453,3.33657,1.8128745,"B"
"INKA2",1,1.2536635,2.37319,1,1.610509,17.47585,"Neutrophils"
"IPO11",4.93876,4.024825,3.99638,22.70145,4.5268,1.918724,"NK"
"IRAG1",1,1.5404745,3.86553,1.0057259,1.137118,17.43605,"Neutrophils"
"ITLN1",1,1,8.03575,1,1,1,"Monocytes"
"ITM2B",437.189,162.6725,604.22,342.729,197.782,2740.71,"Neutrophils"
"JAKMIP1",13.8447,1.05251765,1.045675,1.813798,1.0242414,1.04593625,"T"
"KCNJ15",1.06956,1.05296305,1.63788,1.07986075,1.162009,257.013,"Neutrophils"
"KDM6B",1.235301,1.3538385,1.385597,1.05836905,1.474693,5.92244,"Neutrophils"
"KIAA0825",1.319213,1.394446,1.436326,1.33104325,1.399144,9.189925,"Neutrophils"
"KIF27",1.457711,1.7523155,1.428831,1.797007,2.10095,9.939945,"Neutrophils"
"KLHL14",1,6.89069,1,1.0050223,1,1,"B"
"KLHL21",7.14051,3.72416,3.85014,4.124995,3.79074,43.0798,"Neutrophils"
"KLRB1",81.1229,2.10658,2.85699,767.013,3.31209,5.521945,"NK"
"KLRC1",1.281368,1.166068,1.23564,363.125,1.185969,3.71684,"NK"
"KLRC2",1.0650406,1,1.032997,71.4966,1,1.04155945,"NK"
"KLRC3",1.0623868,1,1,73.58645,1.0105473,1.0133057,"NK"
"KLRD1",3.49038,1.5362855,1.663284,778.7115,1.941038,3.394625,"NK"
"KLRF1",4.13749,1.800366,1.908521,667.141,2.80903,2.251349,"NK"
"KLRK1",3.32244,2.241484,1.516092,374.534,2.27422,2.005137,"NK"
"KRT23",1,1,1.0144996,1,1.0131417,41.92845,"Neutrophils"
"KRT86",1,1,1,10.42755,1,1,"NK"
"LAMP2",34.6237,20.55695,126.298,46.7036,55.6182,576.526,"Neutrophils"
"LAMP5",1,2.19888,1.160162,1.05960155,72.9532,1.0301176,"DC"
"LCN2",1,1,1,1,1,8.339835,"Neutrophils"
"LETM2",2.40243,2.024031,2.34633,3.117995,1.850806,12.5906,"Neutrophils"
"LGALS3",32.0459,5.296195,310.882,20.58335,25.4125,15.86795,"Monocytes"
"LGALS9B",1.0430451,1.0671964,1.161238,15.0185,1.144943,1.0482918,"NK"
"LGMN",7.8291,11.5439,2.72717,5.611315,130.208,2.365445,"DC"
"LIMK2",6.16044,2.70031,3.93938,8.228365,3.78437,56.61585,"Neutrophils"
"LIN7A",1,1,1.695651,1,1.033305,18.4601,"Neutrophils"
"LITAF",318.194,131.232,105.17,292.2415,179.726,1653.4,"Neutrophils"
"LRG1",1.227224,1.2882965,2.54993,1.1026623,1.501727,144.2235,"Neutrophils"
"LRRC4",1,1,1.1949,1,1,9.581975,"Neutrophils"
"LRRK2",1.0120706,2.75641,6.79512,1,2.33674,65.5608,"Neutrophils"
"LRRN3",4.32359,1.04855175,1.0344105,1.03637665,1.0295047,1.04443865,"T"
"LTB4R",1.999798,1.02556885,5.62886,3.381115,3.5959,67.1346,"Neutrophils"
"LY96",7.93155,13.7163,60.0439,1.0825726,38.4972,358.705,"Neutrophils"
"LYPD2",1.0295128,1.0318912,22.2572,1,1.0760893,1.021443,"Monocytes"
"MAFB",1.0332573,1.01083095,52.0439,1.02550745,1.388682,2.0231855,"Monocytes"
"MAFF",2.43132,1.5911895,1.454479,23.635,1.562383,7.6779,"NK"
"MAK",1.285695,1.2089975,1.43521,1.2166785,1.281507,7.202545,"Neutrophils"
"MAL",176.41,2.59755,1.252654,7.02439,1.662452,2.194775,"T"
"MANSC1",1.186786,1.2072995,1.636413,1.5277635,1.115078,67.83265,"Neutrophils"
"MAP1LC3A",3.93794,4.581315,2.95762,4.356235,2.15915,41.3832,"Neutrophils"
"MARCO",1,1,23.5949,1,2.67527,1.1907465,"Monocytes"
