"","T.cells","B.cells","Monocytes","NK","DC","Neutrophils","avg_logFC","cell"
"P2RY13",7.08285407666952,13.3353161868139,2786.279688,76.92819841,25.78957652,4885.264485,4.47929905509374,"Neutrophils"
"PGLYRP1",12.5283828457492,19.6038430981241,13.97992365,99.27421716,11.05128893,1587.726613,4.34170295798912,"Neutrophils"
"MAK",10.0138622411051,20.1410029761408,24.81417634,11.47152467,13.83006736,1120.128556,4.30422753480196,"Neutrophils"
"TNFRSF10C",38.2735901568777,42.3383158687731,237.9058901,20.06638784,53.99033577,3919.76984,4.30375241628858,"Neutrophils"
"BTNL8",17.1990400512557,14.9158543009843,20.1092024,11.54872001,16.44465145,1062.582186,4.20945110924988,"Neutrophils"
"VNN3",29.1779285115514,31.1442838447093,187.5997533,22.08322245,19.03566519,2232.466996,4.09336523197049,"Neutrophils"
"CSF3R",45.4276101136939,88.7664717660556,2331.948628,115.6437107,92.48429351,9175.361959,4.05744883586318,"Neutrophils"
"STEAP4",5.73552493104068,5.03739410736306,111.873397,8.756230575,48.28814175,800.5703388,3.85974688466179,"Neutrophils"
"NFE2",65.8044532093141,6.20029436270645,1517.644033,134.3635052,12.40993727,2938.86897,3.83473105967339,"Neutrophils"
"CDA",11.8207643061524,7.58340769625698,1040.419935,98.13957615,343.4091893,3592.43191,3.81288197464796,"Neutrophils"
"FPR1",214.587808690318,365.389016133722,9800.634834,397.2639649,281.0707287,27644.58995,3.81056705710815,"Neutrophils"
"MNDA",25.4245508774108,68.1658994774255,11447.56145,790.3716005,4559.644609,22598.07416,3.64548098748795,"Neutrophils"
"REPS2",15.7956414321845,38.4170225050307,153.2877211,16.00616409,46.40358284,1345.638366,3.59444340883966,"Neutrophils"
"C5AR1",45.3759978896462,88.0790228213618,4237.561451,335.1748215,1195.953955,12587.17469,3.53117116852666,"Neutrophils"
"TREM1",91.135067298658,387.227023320076,1775.188919,79.85743138,222.6374113,8433.289331,3.49218149573556,"Neutrophils"
"CXCR1",243.383478750184,249.050434857378,82.78141165,515.9159844,65.52991342,5613.081304,3.46146551394161,"Neutrophils"
"MXD1",122.153766753929,22.7185443379344,250.0158171,201.8229525,18.2441129,2389.810861,3.44672557848862,"Neutrophils"
"MEFV",10.7560954779654,27.2750813558546,552.7124986,19.76334445,11.06899545,871.8164344,3.29372668458284,"Neutrophils"
"APOBEC3A",67.6808496829696,100.417689981512,2415.197908,253.3068151,107.913789,5584.333309,3.2617978748941,"Neutrophils"
"FPR2",57.4157862707701,217.332180105896,964.2419055,88.1553815,62.80252929,3797.403194,3.25763578983245,"Neutrophils"
"TREML2",28.3968481147693,62.7473051685535,40.72889444,55.01920603,32.7416014,1082.741035,3.24951902530163,"Neutrophils"
"CREB5",16.0021625444567,29.9682292505749,360.9106341,13.03890087,227.5494335,1385.315828,3.22232406466188,"Neutrophils"
"LILRA2",20.333867655077,20.7391978399829,1764.823942,101.3950793,135.3143975,2439.781118,3.19031458917481,"Neutrophils"
"HSPA6",80.3405053527541,82.823148837503,641.2142131,184.8377232,65.31326001,3303.08264,3.16960775465934,"Neutrophils"
"QPCT",18.5198674064584,17.1886496957874,1499.926054,69.39293926,1578.799624,3236.166445,3.14605078206227,"Neutrophils"
"CHST15",43.2597635879939,375.907349500015,3334.89402,43.29669296,317.7544695,4602.158626,2.96665732481789,"Neutrophils"
"INKA2",22.7154229991492,49.7311795995643,95.87273144,13.78507742,19.30988108,569.9349175,2.91014189248301,"Neutrophils"
"MMP25",198.866910121167,134.601311075599,446.4796965,149.937847,563.3057559,4281.638501,2.83401298046125,"Neutrophils"
"CEACAM3",62.8174017882781,67.4170904196429,242.1017704,189.912654,147.5042141,2096.525977,2.83185498533113,"Neutrophils"
"HAL",95.3780725390562,368.985213275668,877.1793038,99.60146076,74.77632532,3105.095231,2.8086006926568,"Neutrophils"
"C5AR2",14.8742144984431,9.38605982963425,56.84374943,35.45497764,24.61393679,383.2737567,2.7986020082274,"Neutrophils"
"LST1",376.170469376435,28.5667496092806,5975.189254,672.9594285,3691.087351,9953.015759,2.66502721165919,"Neutrophils"
"PADI4",31.9386605800303,11.4692530814974,765.8740271,117.7115047,21.13767299,834.1791302,2.65368848960331,"Neutrophils"
"ADGRE2",60.6695720748515,139.716804601557,1319.424101,174.2285945,863.0024859,3956.252694,2.65289331851653,"Neutrophils"
"TLR2",126.489594901581,86.5864068735385,4560.185304,138.3345347,1202.759716,5374.798483,2.63978230013601,"Neutrophils"
"PLEKHG3",341.314549988369,11.2989680258792,417.6498993,855.4915686,25.67875771,1603.250854,2.52188868225385,"Neutrophils"
"BST1",78.9128247652609,65.5899551271924,1567.219569,151.4101449,154.2773488,1750.231329,2.27398945250358,"Neutrophils"
"CHST7",180.75130959882,15.5781974391083,291.0641772,29.82523398,193.2489244,793.1481128,2.22083554733152,"Neutrophils"
"PTPRG",6.28891823883064,105.062548826693,6.373268195,8.39063172,8.931399029,109.6278029,2.16466177643508,"Neutrophils"
"ALOX5",97.4878004151103,1897.83875834856,1979.301155,157.0365044,118.4834954,2917.27138,2.068414131544,"Neutrophils"
"DPEP2",661.38398263852,658.438757451782,1471.477094,636.0698166,502.9110289,4347.71622,1.78661603869178,"Neutrophils"
"RIPOR2",3214.60032315135,4805.63156654578,2428.861545,1586.716996,136.2081634,8329.197426,1.70116504341438,"Neutrophils"
"SELL",7575.8789997606,10616.0470768644,7242.740165,5741.494585,121.953751,13724.93946,1.41702619901432,"Neutrophils"
"IL17A",9.32175024880904,25.2946878934814,7.929351943,9.511607877,7.653355249,39.5476383,1.31327133695506,"Neutrophils"
"PDCD1",247.875325211509,107.136556230858,153.2622842,128.5338061,111.798525,277.5988266,0.667762762629697,"Neutrophils"
"ICA1",289.698111442537,179.47640441692,183.2555042,133.7203845,204.0001741,309.3789708,0.477839709264348,"Neutrophils"
