Mixture,T.cell,B.cell,monocyte,NK.cell,DC,neutrophil,P-value,Correlation,RMSE,Absolute score (sig.score)
3093,2.13167809465387,0.347973253458888,1.03170415372176,0.0390231588430769,0,0.615514661987319,0,0.855916193598237,0.688078707085594,4.16589332266491
3123,1.49400062365785,0.46212327092344,0.490898118339803,0.115353517623229,0,0.204869202939234,0,0.843520616507038,0.804744298469935,2.76724473348356
3127,2.12549584966264,0.137951915660518,1.26961463990942,0.0270520759588956,0,0.752103854185732,0,0.847214204138811,0.65403017187645,4.31221833537721
3150,2.05174820419088,0.278822371995798,0.694058631967381,0.070446298299764,0,0.396976188021877,0,0.852893022878703,0.742742852989875,3.4920516944757
3160,2.0615163049577,0.330756624275832,0.704896060641388,0.0338932666964438,0,0.268666921937222,0,0.839224223581747,0.797959831556513,3.39972917850858
3024,1.87213113734807,0.337891704672557,0.868943783265783,0.172541661364674,0,0.423469982633994,0,0.836068849172042,0.74020998522288,3.67497826928508
3025,2.04383223744583,0.287003773348566,0.950950736642512,0.0495492334882888,0,0.632198768496332,0,0.847088242474166,0.678473205199497,3.96353474942153
3027,1.99735577944556,0.230370601810069,0.936915935847431,0.0851634279456377,0,0.495195936884212,0,0.846162854577861,0.713022547106697,3.74500168193291
3033,2.1289653942645,0.16419420240521,0.668843914231799,0.176229793328791,0,0.646454178364187,0,0.842784404077964,0.669978524506502,3.78468748259448
3034,1.73876604650446,0.207347740095694,0.827776250451178,0.0944590644797243,0,0.248257633015398,0,0.871680742929336,0.773772722262529,3.11660673454646
3040,2.20642215533235,0.371620601535364,0.594986275371896,0.031536261310225,0,0.502263774289956,0,0.877993757827958,0.704071608840515,3.70682906783979
3042,2.0937331316205,0.150548498616158,0.837455181631461,0.0483286917111265,0,0.523319312832515,0,0.849782861984858,0.699322569868263,3.65338481641176
3045,1.92624507459844,0.194149219720018,0.781246450523338,0.0863590885257738,0,0.427390057415374,0,0.825650721588851,0.735075531212598,3.41538989078294
3055,2.18859526589672,0.283035441272922,0.393655158036837,0.104023402881908,0.00214128765331993,0.351289844627404,0,0.861317625862443,0.759138392315909,3.32274040036911
3063,1.79876176825561,0.164863724365664,1.52164531072739,0.0648076234950251,0,0.842359053021992,0,0.830242291469366,0.641806388972612,4.39243747986569
3078,1.48637228624628,0.253171479898229,0.601713112253041,0.0218290511800056,0,0.116217391556613,0,0.83538459216566,0.837684808175156,2.47930332113417
3100,2.12593303855032,0.208207752456915,0.622689520617099,0.0682415236313417,0,0.397625120662088,0,0.793858386828654,0.766580664855012,3.42269695591776
3115,2.04161068628235,0.214827074730295,0.62769888626416,0.062037163629817,0,0.426225305390632,0,0.870722690550581,0.7173864719305,3.37239911629726
3134,1.90889694843657,0.40984154006431,0.878809611810769,0.121155592861569,0,0.412270630902108,0,0.828385444885673,0.751983596198394,3.73097432407533
3152,1.47072726193342,0.304356411996819,0.712036880722229,0.1562690284283,0,0.159136034029801,0,0.861937281000625,0.807472453497259,2.80252561711057
3154,1.61493870912677,0.458879823187921,0.74278804859293,0.0246429338306393,0,0.380430555815014,0,0.815659531211782,0.75057715994968,3.22168007055328
3170,2.08087624615279,0.24649859010445,0.525785102766589,0.0650640369358335,0,0.358665250638136,0,0.88362188985449,0.740881886138698,3.2768892265978
3172,2.59176686905178,0,0.892723480142781,0.0863382249299797,0.00895640087856563,1.20569289618186,0,0.824443536821639,0.604250796085595,4.78547787118496
3174,1.91507697259002,0.376421553364297,0.949413096959531,0.137761617821428,0,0.294688366086876,0,0.864520903231616,0.776001447469933,3.67336160682215
3197,1.70744659887925,0.321251481292552,0.685882591881022,0.204809187923852,0,0.281291052010196,0,0.850745295079031,0.772349175949888,3.20068091198687
3218,2.23653171873961,0,1.23517412015812,0.0260775288268661,0,0.670723858716516,0,0.836213700918915,0.677315054012203,4.16850722644111
3228,2.15562772379253,0.0681088691429503,0.683326323004729,0.0914052658253513,0,0.360278390928755,0,0.81549060975769,0.765617907965486,3.35874657269431
3023,2.39011012436227,0,0.984306111921335,0.172677444399567,0,0.400165547572746,0,0.866985854150418,0.743926581044862,3.94725922825592
